OBJECTID,LANDUSECODE,LANDUSEDESC,LASTUPDATE,LASTEDITOR,DENSITY,FAR,HISTORY,ACRES,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID,UNITCOUNT,SHAPE_Length,SHAPE_Area
1949,VHDR,Very High-Density Residential,,, , ,VHDR,14.1729808,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:44,{50E49AF3-F4A6-43DA-9D86-7C56DD5803CA},820.5,3369.76617446133,617372.574270297
1950,I,Industrial,,, , ,I,40.36029362,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:44,{8E0C204D-777C-4CAD-9565-958D50756434},0,10891.5162762854,1758087.35767495
1951,MDR,Medium-Density Residential,,,0-16, ,MDR,22.10338922,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:44,{75DF099F-A218-44EF-8696-DF514D1F43A0},367.5,5007.24346426097,962819.783036756
1952,LDC,Low-Density Commercial,,, , ,LDC,2.63764076,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:44,{F21C2DCB-F952-4925-8266-A194A73DEDC2},0,1700.59417192177,114895.171936225
1953,LDC,Low-Density Commercial,,, , ,LDC,19.35341717,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:44,{A2CEBF1D-32FD-4CFA-B4CA-FDF64FFAC502},0,5419.47366658941,843031.479662312
1954,MDR,Medium-Density Residential,,,0-16, , ,13.73342196,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:49,{7B21F7B8-8BD1-4C65-8C3C-C0C95EC80BAD},12.8,6650.41582273633,598225.46747429
1955,MU,Mixed-Use,,, , , ,15.90058483,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:49,{6927321F-54CD-4A9B-9667-E0E3DEB9213C},0,3770.18550335503,692626.704863434
1956,LDC,Low-Density Commercial,,, , , ,24.83718474,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:51,{8BDC1B60-531A-4FEF-A02C-F0DD93BB5E91},0,8405.94534146574,1081903.4394444
1957,O-I,Office/Institutional,,, , , ,31.26140245,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:44,{A5B238CD-1901-4751-A5C2-BA4DD0B006E4},0,4899.55722739099,1361741.24361869
1958,LDR,Low-Density Residential,,,0-8, , ,22.72811249,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:49,{2B3AEC7B-6E78-45F6-8C94-D4741C3562D8},181.8,4803.5725290237,990032.620016197
1959,MDR,Medium-Density Residential,,,17-29, , ,16.25645302,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:51,{2F7DDE24-86EC-4B2D-9492-2E947A263997},471.5,4525.6299307016,708128.260831561
1960,SFR,Single-Family Residential,,, , , ,112.14360422,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:49,{06491C34-BAC6-4DD7-BD4F-C17F1B76D79E},223.1,11447.8568065651,4884955.85976373
1961,LDR,Low-Density Residential,,,0-8, , ,1.94749093,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:49,{D6151F49-ED04-4456-8C55-2F9B955F3FE3},15.6,1327.34138210723,84832.3655663146
1962,OIR,Office/Institutional/Residential,,, , , ,83.27845375,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:44,{561FA517-B7B9-45DD-A658-E80A4487056D},0,20140.5394669627,3627594.9350609
1963,MDR,Medium-Density Residential,,, , , ,1.63807656,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:44,{9DCFAA51-5619-475B-8140-26EB27B144D7},39.2,1181.21615368249,71354.3293792253
1964,LDR,Low-Density Residential,,,9-16, , ,9.73767045,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:49,{774E0BCF-9983-473A-9B38-39A05AAA12B1},155.7,3430.20415661715,424171.22815493
1965,LDC,Low-Density Commercial,,, , , ,4.56219725,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:49,{223EE719-C504-42BF-B65A-5593A143A7FB},0,2045.39076320955,198728.517210818
1966,LDC,Low-Density Commercial,,, , , ,4.26303289,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:46,{DC248771-818A-40E2-AA03-FB9664423327},0,2170.4803389036,185696.969977253
1967,MDR,Medium-Density Residential,,, , , ,0.99574806,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:44,{A9466EAC-E4AD-4812-825F-8445B1845CEE},16,840.039004522686,43374.6117896604
1968,MDR,Medium-Density Residential,,, , , ,0.51233887,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:44,{5C528C89-4DD4-422D-89C4-E8037BB566CA},8.2,598.446809063683,22317.3918382382
1969,LDC,Low-Density Commercial,,, , , ,0.19992269,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:51,{80D00F19-D27C-4F9E-AEA2-FD53AE94D121},0,434.828375279226,8708.59762614114
1970,LDC,Low-Density Commercial,,, , , ,0.11997484,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:47,{00C13DD0-5A80-4F41-802F-C4DDD710E98F},0,296.577470753722,5226.08299377903
1971,LDC,Low-Density Commercial,,, , , ,0.1661397,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:46,{93D9B5A6-EEB2-40A4-9123-05DBE717F5F8},0,407.049891602128,7237.01655159039
1972,MU,Mixed-Use,,, , , ,16.99288332,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:44,{06B685C3-923A-4EEA-AF49-72182B77E030},0,3758.62054728843,740207.036640411
1973,LDC,Low-Density Commercial,,, , , ,0.86498107,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:46,{57A0F27F-89F6-493C-9AD5-2616F8C545F6},0,781.182806577416,37678.4247856305
1974,HDR,High-Density Residential,,, , , ,2.70771285,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:49,{39EA1650-7C6C-4083-9487-6304A15B2969},78.6,1690.42505731208,117947.500165439
1975,VHDR,Very High-Density Residential,,, , , ,4.16688335,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:44,{375DE6DB-EFED-4B36-A71A-3EFF589C865C},266.2,1724.15097558189,181508.712800475
1976,MU,Mixed-Use,2018/02/07 15:12:44,GIS, , ,VHDR,16.58872385,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:49,{EC5F274E-9A2D-4992-8C51-9595C9043CC6},114.6,4819.72017128283,722601.920426518
1977,LDR,Low-Density Residential,,, , , ,2.23989541,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:44,{D7D0C196-332F-4EA5-894A-EAA9CAED0C48},17.9,1646.83194524295,97569.4537467915
1978,LDR,Low-Density Residential,,, , , ,0.64767454,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:46,{B76F2C66-D9B4-42D0-A87F-E7DEC1DE48F2},5.2,690.095133147403,28212.5900376016
1979,SFR,Single-Family Residential,,, , , ,5.64452275,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:51,{C12450C7-0249-40A0-B4D7-39A0A2165C05},11.3,2523.70760848025,245874.427328321
1980,LDC,Low-Density Commercial,,, , , ,9.87056896,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:44,{7A20ECD7-0388-47DE-948F-C5E14572D3A9},0,3927.50434351183,429960.264242024
1981,OS,Open Space,,, , , ,3.15813759,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:44,{EC04008C-01F7-4FF2-9301-3975C22BDF20},0,1522.48337673921,137567.923155241
1982,LDC,Low-Density Commercial,,, , , ,19.12232085,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:44,{38B46003-0004-4194-B939-08EB152B354D},0,5202.02193411429,832964.964149218
1983,MDR,Medium-Density Residential,,, , , ,1.45528729,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:44,{0D4730ED-C19C-4B0B-AF0A-00AA94DB7006},23.4,1017.03184393423,63392.0607674205
1984,LDC,Low-Density Commercial,,, , , ,1.2442125,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:49,{91DC5E95-3AD0-4912-8646-398C1C7D420A},0,977.680804904494,54197.6798695187
1985,HDC,High-Density Commercial,,, , , ,17.90137916,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:49,{B44CD83B-6CC5-4548-B8EF-73115E5227D4},0,4340.244122429,779780.956933482
1986,O-I,Office/Institutional,,, , , ,6.6190772,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:44,{58491515-0B40-4D0A-9383-C3B1F8872E50},0,2717.01655382736,288325.849453314
1987,O-I,Office/Institutional,,, , , ,5.92855521,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:46,{D270B73F-7CD2-47C3-B62E-3A914FA8AA69},0,2407.58135709367,258246.831836163
1988,OS,Open Space,,, , , ,1.43202521,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:44,{2AFA5BBE-7250-41F2-ABEF-F3CC11D59ABC},0,1443.12210849625,62378.7684717876
1989,CF,Community Facilities,,,0-16, , ,12.09769262,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:49,{ABA0DA92-96A3-44E3-A86D-73099582A3DB},193.6,3220.2729890453,526973.382687535
1990,LDC,Low-Density Commercial,,, , ,MDR,3.36365532,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:44,{604A9745-3B96-4594-9C92-E7D5151662B1},53.8,2257.38546238251,146520.239569914
1991,MU,Mixed-Use,,,9-16, , ,1.29663213,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:44,{A3DC68BF-A6FC-432A-B3A7-50E415E5A1CA},3739,959.117931232546,56481.0696528651
1992,MDR,Medium-Density Residential,,,17-29, , ,8.76799032,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:49,{09AA31DF-D5C5-403F-8DAF-CAD814B9F236},573.3,4233.04620526565,381932.130806532
1993,LDC,Low-Density Commercial,,, , , ,1.7664224,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:49,{0F0EBD31-E8E8-4D06-A612-FB1D5BC709F2},0,1378.56674115499,76945.0521641503
